Timestamp,Imagem,Tipo,Valores
2025-02-19 12:24:44,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.370370370370371), np.float64(4.841269841269842), np.float64(4.3121693121693125), np.float64(3.7301587301587302), np.float64(3.2010582010582014), np.float64(2.671957671957672), np.float64(2.08994708994709), np.float64(1.560846560846561), np.float64(4.417989417989419), np.float64(5.423280423280423)]"
2025-02-19 12:25:04,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p2__ALIGN.png,Comprimento Total,[np.float64(66.71957671957672)]
2025-02-19 12:25:04,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p2__ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.423280423280423), np.float64(4.894179894179895), np.float64(4.365079365079366), np.float64(3.7830687830687832), np.float64(3.2539682539682544), np.float64(2.724867724867725), np.float64(2.1693121693121693), np.float64(1.613756613756614), np.float64(6.216931216931218), np.float64(6.269841269841271)]"
2025-02-19 12:36:09,./mnt/data/P2__ALIGN.png,Comprimento Total,[np.float64(66.71957671957672)]
2025-02-19 12:36:09,./mnt/data/P2__ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(4.1005291005291005)]"
2025-02-19 13:07:21,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(66.6842105263158)]
2025-02-19 13:07:22,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(5.921052631578948), np.float64(5.342105263157895), np.float64(4.815789473684211), np.float64(4.2894736842105265), np.float64(3.710526315789474), np.float64(3.1842105263157894), np.float64(2.6578947368421053), np.float64(2.0789473684210527), np.float64(1.5526315789473684), np.float64(4.394736842105263), np.float64(5.394736842105263)]"
2025-02-19 13:07:46,./mnt/data/P1_ALIGN.png,Comprimento Total,[66.6842105263158]
2025-02-19 13:07:46,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(5.921052631578948), np.float64(5.342105263157895), np.float64(4.815789473684211), np.float64(4.2894736842105265), np.float64(3.710526315789474), np.float64(3.1842105263157894), np.float64(2.6578947368421053), np.float64(2.0789473684210527), np.float64(1.5526315789473684), np.float64(4.394736842105263), np.float64(5.394736842105263)]"
2025-02-19 13:09:14,./mnt/data/P1_ALIGN.png,Comprimento Total,[66.6842105263158]
2025-02-19 13:09:14,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(6.131578947368421), np.float64(5.921052631578948), np.float64(5.342105263157895), np.float64(4.815789473684211), np.float64(4.2894736842105265), np.float64(3.710526315789474), np.float64(3.1842105263157894), np.float64(2.6578947368421053), np.float64(2.0789473684210527), np.float64(1.5526315789473684), np.float64(4.394736842105263), np.float64(5.394736842105263)]"
2025-02-19 13:09:23,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
2025-02-19 13:09:23,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.370370370370371), np.float64(4.841269841269842), np.float64(4.3121693121693125), np.float64(3.7301587301587302), np.float64(3.2010582010582014), np.float64(2.671957671957672), np.float64(2.08994708994709), np.float64(1.560846560846561), np.float64(4.417989417989419), np.float64(5.423280423280423)]"
2025-02-19 13:09:56,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.21485411140583]
2025-02-19 13:09:56,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(6.180371352785145), np.float64(5.968169761273209), np.float64(5.384615384615384), np.float64(4.8541114058355435), np.float64(4.323607427055703), np.float64(3.7400530503978775), np.float64(3.209549071618037), np.float64(2.679045092838196), np.float64(2.0954907161803713), np.float64(1.5649867374005304), np.float64(4.429708222811671), np.float64(5.437665782493368)]"
2025-02-19 13:10:18,./mnt/data/P1_ALIGN.png,Comprimento Total,[66.94848084544253]
2025-02-19 13:10:18,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(6.155878467635403), np.float64(5.9445178335535), np.float64(5.363276089828269), np.float64(4.834874504623514), np.float64(4.306472919418758), np.float64(3.725231175693527), np.float64(3.1968295904887714), np.float64(2.668428005284016), np.float64(2.0871862615587844), np.float64(1.558784676354029), np.float64(4.41215323645971), np.float64(5.416116248348745)]"
2025-02-19 13:10:37,./mnt/data/P1_ALIGN.png,Comprimento Total,[66.98387523129792]
2025-02-19 13:10:37,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(6.159132963256675), np.float64(5.947660586835845), np.float64(5.3661115516785625), np.float64(4.8374306106264875), np.float64(4.308749669574412), np.float64(3.7272006344171293), np.float64(3.1985196933650544), np.float64(2.6698387523129794), np.float64(2.0882897171556967), np.float64(1.5596087761036215), np.float64(4.414485857784827), np.float64(5.41897964578377)]"
2025-02-19 13:10:53,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.0193070616239]
2025-02-19 13:10:53,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(5.950806664903465), np.float64(5.368950013224015), np.float64(4.839989420788151), np.float64(4.3110288283522875), np.float64(3.729172176672838), np.float64(3.2002115842369743), np.float64(2.6712509918011107), np.float64(2.089394340121661), np.float64(1.5604337476857972), np.float64(4.416820946839461), np.float64(5.421846072467601)]"
2025-02-19 13:11:06,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.00158646218932]
